cnt,co_nm_txt,trns_dttm,rle_srvc_cd,prod_cd,decsn_cd
5,PMCPL,3/3/2021,DISCLOSURES,TermLife,ACC
25,PMCPL,3/3/2021,MIB,TermLife,ACC
3,PMCPL,3/3/2021,POSTPROCESSING,TermLife,ACC
4,PMCPL,3/4/2021,DISCLOSURES,TermLife,ACC
11,PMCPL,3/4/2021,DISCLOSURES,TermLife,ACC_STANDARD_TB
21,PMCPL,3/4/2021,DISCLOSURES,TermLife,DCL
35,PMCPL,3/4/2021,DISCLOSURES,TermLife,PP
30,PMCPL,3/4/2021,DISCLOSURES,TermLife,PP12
22,PMCPL,3/4/2021,DISCLOSURES,TermLife,RUW
32,PMCPL,3/4/2021,MIB,TermLife,ACC
13,PMCPL,3/4/2021,MIB,TermLife,RUW
39,PMCPL,3/4/2021,POSTPROCESSING,TermLife,ACC
11,PMCPL,3/4/2021,POSTPROCESSING,TermLife,ACC_STANDARD_TB
38,PMCPL,3/4/2021,POSTPROCESSING,TermLife,DCL
13,PMCPL,3/4/2021,POSTPROCESSING,TermLife,PP
15,PMCPL,3/4/2021,POSTPROCESSING,TermLife,PP12
23,PMCPL,3/4/2021,POSTPROCESSING,TermLife,RUW
39,PMCPL,3/5/2021,DISCLOSURES,TermLife,ACC
11,PMCPL,3/5/2021,DISCLOSURES,TermLife,ACC_STANDARD_TB
3,PMCPL,3/5/2021,DISCLOSURES,TermLife,DCL
12,PMCPL,3/5/2021,DISCLOSURES,TermLife,PP
33,PMCPL,3/5/2021,DISCLOSURES,TermLife,RUW
40,PMCPL,3/5/2021,MIB,TermLife,ACC
5,PMCPL,3/5/2021,MIB,TermLife,RUW
3,PMCPL,3/5/2021,POSTPROCESSING,TermLife,ACC
24,PMCPL,3/5/2021,POSTPROCESSING,TermLife,ACC_STANDARD_TB
29,PMCPL,3/5/2021,POSTPROCESSING,TermLife,DCL
20,PMCPL,3/5/2021,POSTPROCESSING,TermLife,PP
15,PMCPL,3/5/2021,POSTPROCESSING,TermLife,RUW
11,PMCPL,3/6/2021,DISCLOSURES,TermLife,ACC
25,PMCPL,3/6/2021,DISCLOSURES,TermLife,ACC_STANDARD_TB
33,PMCPL,3/6/2021,DISCLOSURES,TermLife,PP
24,PMCPL,3/6/2021,DISCLOSURES,TermLife,RUW
6,PMCPL,3/6/2021,MIB,TermLife,ACC
31,PMCPL,3/6/2021,MIB,TermLife,RUW
9,PMCPL,3/6/2021,POSTPROCESSING,TermLife,ACC
13,PMCPL,3/6/2021,POSTPROCESSING,TermLife,ACC_STANDARD_TB
4,PMCPL,3/6/2021,POSTPROCESSING,TermLife,PP
22,PMCPL,3/6/2021,POSTPROCESSING,TermLife,RUW
2,PMCPL,3/7/2021,DISCLOSURES,TermLife,ACC
22,PMCPL,3/7/2021,DISCLOSURES,TermLife,ACC_STANDARD_TB
28,PMCPL,3/7/2021,DISCLOSURES,TermLife,DCL
23,PMCPL,3/7/2021,DISCLOSURES,TermLife,RUW
39,PMCPL,3/7/2021,MIB,TermLife,ACC
28,PMCPL,3/7/2021,MIB,TermLife,RUW
10,PMCPL,3/7/2021,POSTPROCESSING,TermLife,ACC
6,PMCPL,3/7/2021,POSTPROCESSING,TermLife,ACC_STANDARD_TB
25,PMCPL,3/7/2021,POSTPROCESSING,TermLife,DCL
40,PMCPL,3/7/2021,POSTPROCESSING,TermLife,RUW
16,PMCPL,3/8/2021,DISCLOSURES,TermLife,ACC
14,PMCPL,3/8/2021,DISCLOSURES,TermLife,DCL
1,PMCPL,3/8/2021,DISCLOSURES,TermLife,PP
17,PMCPL,3/8/2021,DISCLOSURES,TermLife,RUW
38,PMCPL,3/8/2021,MIB,TermLife,ACC
22,PMCPL,3/8/2021,MIB,TermLife,RUW
